model,framework,training_id,model_full,direction,batch_size,round,converter,original_size,converted_size,original_infererence_time,converted_infererence_time,conversion_time,saving_converted_time,overral_time,avg_abs_error,median_abs_error,min_abs_error,max_abs_error,avg_rel_error,median_rel_error,min_rel_error,max_rel_error
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,keras-keras2,1,5,onnx2keras,89756056,44817208,0.06962156295776367,0.3338038921356201,0.4919886589050293,0.18143177032470703,1.983621597290039,2.4199585e-08,4.307367e-09,2.2737368e-13,1.4156103e-07,3.4930467e-06,1.9550203e-06,6.151823e-08,1.2679639e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,onnx-keras2,1,5,onnx2keras,89756056,44817208,0.06962156295776367,0.3338038921356201,0.4919886589050293,0.18143177032470703,1.983621597290039,1.9652793e-08,3.8653525e-09,0.0,1.1641532e-07,5.6329136e-06,6.1739797e-06,0.0,1.0427335e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,kera-onnx,1,6,onnxruntime,89756056,44688726,0.06605339050292969,0.01091766357421875,9.634531021118164,,10.014134645462036,4.715639e-08,1.0302756e-08,2.3192115e-11,2.0116568e-07,8.056464e-06,7.3611945e-06,1.8437518e-07,1.5534932e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,keras-keras2,1,6,onnx2keras,89756056,44817208,0.06605339050292969,0.3364830017089844,0.4898262023925781,0.17927122116088867,2.068070888519287,3.8851113e-09,2.0038442e-09,0.0,1.21071935e-08,2.8228528e-06,1.9733293e-06,0.0,9.475953e-06
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,onnx-keras2,1,6,onnx2keras,89756056,44817208,0.06605339050292969,0.3364830017089844,0.4898262023925781,0.17927122116088867,2.068070888519287,5.0239965e-08,1.1059456e-08,1.9099389e-11,2.1327287e-07,8.588111e-06,9.81606e-06,1.8437522e-07,1.6469632e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,kera-onnx,1,7,onnxruntime,89756056,44688726,0.0664210319519043,0.011009693145751953,9.82551121711731,,10.065741539001465,4.1614886e-08,1.0593794e-08,1.8189894e-12,1.6018748e-07,5.4422403e-06,4.2346473e-06,1.2383828e-07,1.6162343e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,keras-keras2,1,7,onnx2keras,89756056,44817208,0.0664210319519043,0.34037303924560547,0.5055773258209229,0.18143200874328613,2.007136821746826,2.8874137e-08,7.916242e-09,2.3646862e-11,1.1920929e-07,6.0956713e-06,5.527486e-06,1.2383828e-07,1.5053779e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,onnx-keras2,1,7,onnx2keras,89756056,44817208,0.0664210319519043,0.34037303924560547,0.5055773258209229,0.18143200874328613,2.007136821746826,1.7434468e-08,2.5079316e-09,0.0,8.8475645e-08,4.7310273e-06,2.646948e-06,0.0,1.5273543e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,kera-onnx,1,8,onnxruntime,89756056,44688726,0.06575894355773926,0.010976076126098633,10.068979501724243,,10.480725765228271,8.949405e-09,1.1112888e-09,0.0,4.1909516e-08,4.801005e-06,2.8676236e-06,0.0,1.8079412e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,keras-keras2,1,8,onnx2keras,89756056,44817208,0.06575894355773926,0.3346214294433594,0.7800941467285156,0.19649243354797363,2.4212093353271484,2.355082e-08,6.868504e-09,2.2737368e-13,1.1920929e-07,5.663731e-06,5.5869714e-06,1.2145888e-07,1.2991129e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,onnx-keras2,1,8,onnx2keras,89756056,44817208,0.06575894355773926,0.3346214294433594,0.7800941467285156,0.19649243354797363,2.4212093353271484,2.6558997e-08,4.7148205e-09,5.002221e-12,1.1920929e-07,5.0876006e-06,4.7225612e-06,1.2145888e-07,1.0288109e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,kera-onnx,1,9,onnxruntime,89756056,44688726,0.06718659400939941,0.010543107986450195,10.260947227478027,,10.520622730255127,3.707753e-08,3.4633558e-09,2.046363e-12,2.3841858e-07,4.4361855e-06,2.3375665e-06,2.446648e-07,1.3137769e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,keras-keras2,1,9,onnx2keras,89756056,44817208,0.06718659400939941,0.33388662338256836,0.4905979633331299,0.17871332168579102,1.9807734489440918,2.0204833e-08,3.958121e-09,4.5474735e-13,1.1920929e-07,4.4904527e-06,3.8997814e-06,8.876776e-08,1.2317168e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,onnx-keras2,1,9,onnx2keras,89756056,44817208,0.06718659400939941,0.33388662338256836,0.4905979633331299,0.17871332168579102,1.9807734489440918,2.1639675e-08,3.8708095e-09,2.5011104e-12,1.1920929e-07,2.9562223e-06,2.8645932e-06,1.2233238e-07,7.568555e-06
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,kera-onnx,5,0,onnxruntime,89756056,44688726,0.11498546600341797,0.04395937919616699,10.107329607009888,,10.422324180603027,2.8340605e-08,4.831236e-09,0.0,3.5762787e-07,4.246077e-06,4.0838795e-06,0.0,1.1329226e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,keras-keras2,5,0,onnx2keras,89756056,44817208,0.11498546600341797,0.4172654151916504,0.4909942150115967,0.18285918235778809,2.127218723297119,3.1729368e-08,3.0267984e-09,0.0,2.9802322e-07,6.2129e-06,5.1023717e-06,0.0,2.088864e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,onnx-keras2,5,0,onnx2keras,89756056,44817208,0.11498546600341797,0.4172654151916504,0.4909942150115967,0.18285918235778809,2.127218723297119,3.8566217e-08,1.094304e-08,0.0,2.9802322e-07,5.568881e-06,4.1462654e-06,0.0,1.7395962e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,kera-onnx,5,1,onnxruntime,89756056,44688726,0.06450176239013672,0.044600486755371094,9.778867959976196,,10.043235540390015,1.834107e-08,2.2700988e-09,0.0,1.7881393e-07,4.866936e-06,4.461633e-06,0.0,1.4266236e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,keras-keras2,5,1,onnx2keras,89756056,44817208,0.06450176239013672,0.33646178245544434,0.501129150390625,0.18009114265441895,2.0316712856292725,1.9196136e-08,8.2536644e-11,0.0,1.2293458e-07,4.954998e-06,3.4715288e-06,0.0,1.806683e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,onnx-keras2,5,1,onnx2keras,89756056,44817208,0.06450176239013672,0.33646178245544434,0.501129150390625,0.18009114265441895,2.0316712856292725,2.5862441e-08,4.2491592e-09,0.0,1.7881393e-07,5.5332303e-06,4.6504288e-06,0.0,1.5209576e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,kera-onnx,5,2,onnxruntime,89756056,44688726,0.0655355453491211,0.04175710678100586,10.216386795043945,,10.482208728790283,3.7493653e-08,5.646143e-09,4.5474735e-13,3.5762787e-07,5.4899933e-06,4.9245673e-06,8.0964504e-08,1.8327171e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,keras-keras2,5,2,onnx2keras,89756056,44817208,0.0655355453491211,0.37389707565307617,0.5185632705688477,0.1796255111694336,2.050049066543579,3.2383408e-08,7.566996e-09,0.0,2.9802322e-07,6.6713437e-06,5.692645e-06,0.0,2.0699408e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,onnx-keras2,5,2,onnx2keras,89756056,44817208,0.0655355453491211,0.37389707565307617,0.5185632705688477,0.1796255111694336,2.050049066543579,3.2105522e-08,3.7252903e-09,0.0,3.5762787e-07,4.9688383e-06,4.2741767e-06,0.0,1.5299345e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,kera-onnx,5,3,onnxruntime,89756056,44688726,0.07268643379211426,0.041673898696899414,10.017156600952148,,10.291038513183594,4.134989e-08,3.4924597e-09,0.0,3.5762787e-07,4.6305404e-06,3.3202218e-06,0.0,1.68684e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,keras-keras2,5,3,onnx2keras,89756056,44817208,0.07268643379211426,0.36098361015319824,0.5101072788238525,0.18563079833984375,2.0716216564178467,3.7747764e-08,9.022187e-09,1.8189894e-12,2.3841858e-07,5.567451e-06,5.1805814e-06,6.253017e-08,1.8763212e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,onnx-keras2,5,3,onnx2keras,89756056,44817208,0.07268643379211426,0.36098361015319824,0.5101072788238525,0.18563079833984375,2.0716216564178467,4.3773408e-08,1.071021e-08,4.5474735e-13,2.9802322e-07,5.799612e-06,4.7790495e-06,7.750433e-08,1.9355199e-05
resnet18,keras,10,tf_resnet18-cifar10_2021-10-29_10,kera-onnx,5,4,onnxruntime,89756056,44688726,0.07000231742858887,0.041097164154052734,10.585268020629883,,10.864136934280396,2.3676462e-08,4.0745363e-09,0.0,1.7881393e-07,5.0670556e-06,4.833918e-06,0.0,1.7148355e-05
