model,Epoch,Framework,Value
vgg,12,Keras,0.927092487
vgg,13,Keras,0.947257495
vgg,14,Keras,0.963092506
vgg,15,Keras,0.972677499
vgg,16,Keras,0.979080003
vgg,17,Keras,0.983995003
vgg,18,Keras,0.987817502
vgg,19,Keras,0.99038499
vgg,20,Keras,0.992562503
vgg,21,Keras,0.994365007
vgg,22,Keras,0.994725001
vgg,23,Keras,0.996380007
vgg,24,Keras,0.997094989
vgg,25,Keras,0.997807503
vgg,26,Keras,0.998122507
vgg,27,Keras,0.998194999
vgg,28,Keras,0.998374999
vgg,29,Keras,0.998497498
vgg,30,Keras,0.998622507
vgg,31,Keras,0.998532498
vgg,32,Keras,0.998480004
vgg,33,Keras,0.998640007
vgg,34,Keras,0.998722506
vgg,35,Keras,0.998352492
vgg,36,Keras,0.997837502
vgg,37,Keras,0.997299999
vgg,38,Keras,0.997269994
vgg,39,Keras,0.997069997
vgg,40,Keras,0.995155001
vgg,41,Keras,0.993800008
vgg,42,Keras,0.991892511
vgg,43,Keras,0.9927275
vgg,44,Keras,0.994292492
vgg,45,Keras,0.996020007
vgg,46,Keras,0.996597499
vgg,47,Keras,0.996257496
vgg,48,Keras,0.992510009
vgg,49,Keras,0.9939825
vgg,50,Keras,0.996402496
lstm,1,Keras,0.834782511
lstm,2,Keras,0.943477505
lstm,3,Keras,0.973405004
lstm,4,Keras,0.984784991
lstm,5,Keras,0.988405001
lstm,6,Keras,0.991557497
lstm,7,Keras,0.992337495
lstm,8,Keras,0.992642504
lstm,9,Keras,0.995644999
lstm,10,Keras,0.996165001
lstm,11,Keras,0.996500003
lstm,12,Keras,0.997229993
lstm,13,Keras,0.997010005
lstm,14,Keras,0.997090006
lstm,15,Keras,0.997582501
lstm,16,Keras,0.997987509
lstm,17,Keras,0.998077506
lstm,18,Keras,0.997937495
lstm,19,Keras,0.998480004
lstm,20,Keras,0.998569989
lstm,21,Keras,0.998692507
lstm,22,Keras,0.998627514
lstm,23,Keras,0.998570001
lstm,24,Keras,0.998612505
lstm,25,Keras,0.998870003
lstm,26,Keras,0.998809999
lstm,27,Keras,0.998497498
lstm,28,Keras,0.999070001
lstm,29,Keras,0.999239999
lstm,30,Keras,0.999405003
lstm,31,Keras,0.998954993
lstm,32,Keras,0.999402499
lstm,33,Keras,0.999594998
lstm,34,Keras,0.999724996
lstm,35,Keras,0.999487495
lstm,36,Keras,0.999489999
lstm,37,Keras,0.999727499
lstm,38,Keras,0.999754995
lstm,39,Keras,0.999970001
lstm,40,Keras,0.999994999
lstm,41,Keras,0.999994999
lstm,42,Keras,0.999994999
lstm,43,Keras,0.999994999
lstm,44,Keras,0.999787498
lstm,45,Keras,0.999370003
lstm,46,Keras,0.999884999
lstm,47,Keras,0.999914998
lstm,48,Keras,0.999957502
lstm,49,Keras,0.999992502
lstm,50,Keras,0.999989998
gru,1,Keras,0.825382495
gru,2,Keras,0.946887487
gru,3,Keras,0.984947503
gru,4,Keras,0.995467496
gru,5,Keras,0.997815007
gru,6,Keras,0.998487502
gru,7,Keras,0.99886499
gru,8,Keras,0.998837507
gru,9,Keras,0.998967505
gru,10,Keras,0.998852503
gru,11,Keras,0.9991175
gru,12,Keras,0.999417502
