model,Epoch,Framework,Framework_mean,Framework_std,Value,std
LeNet-5,32,Keras,Keras (mean),Keras (std),0.9957966686183595,0.00026933976371514706
LeNet-5,33,Keras,Keras (mean),Keras (std),0.9957016586081634,0.00038286391073644887
LeNet-5,34,Keras,Keras (mean),Keras (std),0.9960283280183594,0.00019507995850020403
LeNet-5,35,Keras,Keras (mean),Keras (std),0.9962850092736482,0.00033825685339093956
LeNet-5,36,Keras,Keras (mean),Keras (std),0.9961916745299835,0.00027062870023539324
LeNet-5,37,Keras,Keras (mean),Keras (std),0.996395009684201,0.0002809748721460572
LeNet-5,38,Keras,Keras (mean),Keras (std),0.9964833320773956,0.0003193002242973006
LeNet-5,39,Keras,Keras (mean),Keras (std),0.9964866638135407,0.00026223491296483836
LeNet-5,40,Keras,Keras (mean),Keras (std),0.9967283366732911,0.0002473244489229799
LeNet-5,41,Keras,Keras (mean),Keras (std),0.996693336973291,0.00015673728056349732
LeNet-5,42,Keras,Keras (mean),Keras (std),0.9968800127146119,0.00028360965972597425
LeNet-5,43,Keras,Keras (mean),Keras (std),0.9968266607722198,0.0002526739989844856
LeNet-5,44,Keras,Keras (mean),Keras (std),0.9970666707913635,0.00026056536726752947
LeNet-5,45,Keras,Keras (mean),Keras (std),0.9970883369793823,0.0002274352261409283
LeNet-5,46,Keras,Keras (mean),Keras (std),0.9971783400564911,0.00036999974326768376
LeNet-5,47,Keras,Keras (mean),Keras (std),0.9972749948083649,0.00029601512999182395
LeNet-5,48,Keras,Keras (mean),Keras (std),0.9973116694377046,0.00028216218987263533
LeNet-5,49,Keras,Keras (mean),Keras (std),0.997388339167401,0.00018945029307416815
LeNet-5,50,Keras,Keras (mean),Keras (std),0.9974983274681153,0.0001798942707604083
ResNet-18,1,Keras,Keras (mean),Keras (std),0.40253749787807463,0.0030449216285410264
ResNet-18,2,Keras,Keras (mean),Keras (std),0.5585924923419953,0.0036384791609782832
ResNet-18,3,Keras,Keras (mean),Keras (std),0.645090001821518,0.0033106405217491947
ResNet-18,4,Keras,Keras (mean),Keras (std),0.715340006351471,0.004545435450136253
ResNet-18,5,Keras,Keras (mean),Keras (std),0.7828975081443786,0.004404473512371199
ResNet-18,6,Keras,Keras (mean),Keras (std),0.8507475078105926,0.0038638175161850737
ResNet-18,7,Keras,Keras (mean),Keras (std),0.9133875012397766,0.005199060524681981
ResNet-18,8,Keras,Keras (mean),Keras (std),0.9617524981498718,0.003523522559891405
ResNet-18,9,Keras,Keras (mean),Keras (std),0.9880249917507171,0.0017354076828619573
ResNet-18,10,Keras,Keras (mean),Keras (std),0.9971624970436096,0.0009584075317975004
ResNet-18,11,Keras,Keras (mean),Keras (std),0.9991575062274933,0.0003372811637029148
ResNet-18,12,Keras,Keras (mean),Keras (std),0.9998174905776978,0.00010956680730795685
ResNet-18,13,Keras,Keras (mean),Keras (std),0.9998950064182281,6.689050496398384e-05
ResNet-18,14,Keras,Keras (mean),Keras (std),0.9999400019645691,4.6371932505277965e-05
ResNet-18,15,Keras,Keras (mean),Keras (std),0.9999725103378296,2.839007210682982e-05
ResNet-18,16,Keras,Keras (mean),Keras (std),0.9999750077724456,2.4998191571769794e-05
ResNet-18,17,Keras,Keras (mean),Keras (std),0.9999900102615357,1.223488095070826e-05
ResNet-18,18,Keras,Keras (mean),Keras (std),0.9999925076961518,1.1444683171379335e-05
ResNet-18,19,Keras,Keras (mean),Keras (std),0.9999875068664551,2.3041373320587817e-05
ResNet-18,20,Keras,Keras (mean),Keras (std),0.9999625027179718,9.634711105871454e-05
ResNet-18,21,Keras,Keras (mean),Keras (std),0.9999825060367584,2.5120260685789283e-05
ResNet-18,22,Keras,Keras (mean),Keras (std),0.9999900043010712,2.290627592119477e-05
ResNet-18,23,Keras,Keras (mean),Keras (std),0.9999975025653839,7.492303848233295e-06
ResNet-18,24,Keras,Keras (mean),Keras (std),0.9999875068664551,1.6766632954370342e-05
ResNet-18,25,Keras,Keras (mean),Keras (std),0.9999975025653839,7.492303848233294e-06
ResNet-18,26,Keras,Keras (mean),Keras (std),0.9999949991703033,1.500248908996582e-05
ResNet-18,27,Keras,Keras (mean),Keras (std),0.9999975025653839,7.492303848233294e-06
ResNet-18,28,Keras,Keras (mean),Keras (std),0.9999750077724456,5.915298431818841e-05
ResNet-18,29,Keras,Keras (mean),Keras (std),0.9999950051307678,9.989738464311058e-06
ResNet-18,30,Keras,Keras (mean),Keras (std),0.9999925017356872,1.6007211045704426e-05
ResNet-18,31,Keras,Keras (mean),Keras (std),0.9999800026416779,5.220106085058025e-05
ResNet-18,32,Keras,Keras (mean),Keras (std),0.9999925076961518,1.1444683171379335e-05
