model,framework,training_id,model_full,direction,batch_size,round,converter,original_size,converted_size,original_infererence_time,converted_infererence_time,conversion_time,saving_converted_time,overral_time,avg_abs_error,median_abs_error,min_abs_error,max_abs_error,avg_rel_error,median_rel_error,min_rel_error,max_rel_error
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,kera-onnx,1,5,onnxruntime,89756056,44688726,0.055948495864868164,0.010717153549194336,10.5650053024292,,10.799098253250122,1.9931652e-07,2.325396e-08,2.444267e-12,9.536743e-07,9.1820575e-06,1.0600323e-05,7.066327e-08,1.8054236e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,keras-keras2,1,5,onnx2keras,89756056,44817208,0.055948495864868164,0.3342869281768799,0.4901461601257324,0.18011045455932617,1.9701776504516602,3.026724e-07,1.9033905e-08,1.6484591e-12,1.4901161e-06,9.0299745e-06,8.599274e-06,1.7312058e-06,1.8424416e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,onnx-keras2,1,5,onnx2keras,89756056,44817208,0.055948495864868164,0.3342869281768799,0.4901461601257324,0.18011045455932617,1.9701776504516602,1.2292547e-07,5.180482e-09,7.9580786e-13,5.364418e-07,3.3000779e-06,2.0128514e-06,1.7201658e-07,9.352846e-06
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,kera-onnx,1,6,onnxruntime,89756056,44688726,0.06565594673156738,0.010988235473632812,10.021205425262451,,10.408340692520142,1.418738e-07,8.032657e-09,0.0,7.4505806e-07,3.2257117e-06,2.893365e-06,0.0,6.7265373e-06
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,keras-keras2,1,6,onnx2keras,89756056,44817208,0.06565594673156738,0.3411366939544678,0.4968388080596924,0.1807863712310791,2.0902395248413086,5.4504386e-07,5.0931703e-09,1.364242e-12,2.8014183e-06,5.5093615e-06,5.259521e-06,3.5931407e-07,1.2261097e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,onnx-keras2,1,6,onnx2keras,89756056,44817208,0.06565594673156738,0.3411366939544678,0.4968388080596924,0.1807863712310791,2.0902395248413086,6.518881e-07,6.693881e-09,4.4337867e-12,3.2782555e-06,5.258753e-06,5.72265e-06,5.808357e-07,7.99355e-06
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,kera-onnx,1,7,onnxruntime,89756056,44688726,0.07723116874694824,0.011185407638549805,9.94585108757019,,10.193499088287354,5.495631e-07,1.5395926e-08,9.777068e-12,2.7418137e-06,7.136063e-06,5.7035822e-06,3.4131372e-06,1.4251282e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,keras-keras2,1,7,onnx2keras,89756056,44817208,0.07723116874694824,0.3386073112487793,0.5007810592651367,0.18179988861083984,2.006157636642456,7.060527e-07,4.831236e-09,1.4892976e-11,3.4570694e-06,8.010553e-06,7.785378e-06,3.16671e-07,1.3294231e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,onnx-keras2,1,7,onnx2keras,89756056,44817208,0.07723116874694824,0.3386073112487793,0.5007810592651367,0.18179988861083984,2.006157636642456,2.0025013e-07,1.2878445e-08,5.1159077e-12,7.4505806e-07,4.9110254e-06,4.268494e-06,5.478383e-07,1.8138324e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,kera-onnx,1,8,onnxruntime,89756056,44688726,0.06561422348022461,0.01083683967590332,10.233562231063843,,10.656686782836914,1.8992816e-07,3.2654498e-08,1.8417268e-11,6.556511e-07,9.461249e-06,1.0955533e-05,6.9996577e-07,2.0115509e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,keras-keras2,1,8,onnx2keras,89756056,44817208,0.06561422348022461,0.33193349838256836,0.7202551364898682,0.18946218490600586,2.294895648956299,4.530641e-07,1.8626451e-08,1.2391865e-11,2.2649765e-06,7.906185e-06,7.260976e-06,3.966454e-06,2.1328478e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,onnx-keras2,1,8,onnx2keras,89756056,44817208,0.06561422348022461,0.33193349838256836,0.7202551364898682,0.18946218490600586,2.294895648956299,3.6718444e-07,1.3329554e-08,6.0254024e-12,1.7881393e-06,3.363259e-06,4.0177865e-06,6.553681e-07,5.9331874e-06
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,kera-onnx,1,9,onnxruntime,89756056,44688726,0.06705617904663086,0.011023521423339844,10.275487184524536,,10.517757892608643,3.7921133e-08,1.0884833e-08,1.29602995e-11,1.1920929e-07,3.614392e-06,2.99343e-06,1.16333574e-07,7.775768e-06
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,keras-keras2,1,9,onnx2keras,89756056,44817208,0.06705617904663086,0.335953950881958,0.5029904842376709,0.1832594871520996,2.010014533996582,4.1809517e-07,1.5978003e-08,1.8189894e-12,1.9073486e-06,4.09933e-06,4.0338728e-06,2.1218952e-07,8.398874e-06
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,onnx-keras2,1,9,onnx2keras,89756056,44817208,0.06705617904663086,0.335953950881958,0.5029904842376709,0.1832594871520996,2.010014533996582,3.831759e-07,1.2572855e-08,5.9117156e-12,1.7881393e-06,4.669445e-06,4.006218e-06,3.0640584e-07,1.3149093e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,kera-onnx,5,0,onnxruntime,89756056,44688726,0.12803244590759277,0.04160594940185547,10.091796875,,10.424684047698975,4.0800717e-07,7.625204e-09,4.5474735e-13,3.5464764e-06,5.724429e-06,4.395492e-06,9.200746e-08,1.9519985e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,keras-keras2,5,0,onnx2keras,89756056,44817208,0.12803244590759277,0.41993165016174316,0.511181116104126,0.18642735481262207,2.1638593673706055,4.8745545e-07,1.0448275e-08,7.9580786e-13,3.963709e-06,5.362323e-06,4.9124205e-06,3.7872223e-07,1.7220787e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,onnx-keras2,5,0,onnx2keras,89756056,44817208,0.12803244590759277,0.41993165016174316,0.511181116104126,0.18642735481262207,2.1638593673706055,1.380945e-07,3.6379788e-09,1.0231815e-12,1.4305115e-06,3.5834905e-06,2.1751532e-06,1.4221133e-07,1.8065593e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,kera-onnx,5,1,onnxruntime,89756056,44688726,0.06363725662231445,0.0417325496673584,9.808544397354126,,10.076594829559326,3.145988e-07,8.789357e-09,9.094947e-13,3.33786e-06,5.81486e-06,5.736393e-06,9.8744046e-08,1.6878508e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,keras-keras2,5,1,onnx2keras,89756056,44817208,0.06363725662231445,0.34273386001586914,0.5050020217895508,0.1847081184387207,2.0430757999420166,5.383357e-07,8.411007e-09,2.2737368e-13,4.887581e-06,6.531139e-06,6.7113997e-06,1.9958605e-07,1.6449922e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,onnx-keras2,5,1,onnx2keras,89756056,44817208,0.06363725662231445,0.34273386001586914,0.5050020217895508,0.1847081184387207,2.0430757999420166,3.0188428e-07,2.5320332e-09,0.0,1.9669533e-06,3.6205593e-06,2.9768003e-06,0.0,1.1276612e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,kera-onnx,5,2,onnxruntime,89756056,44688726,0.07299590110778809,0.04103207588195801,10.441507339477539,,10.729136228561401,3.385537e-07,1.1525117e-08,7.3896445e-13,2.2351742e-06,5.10011e-06,3.8858107e-06,4.2121036e-07,1.4940714e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,keras-keras2,5,2,onnx2keras,89756056,44817208,0.07299590110778809,0.3588864803314209,0.5173697471618652,0.18881869316101074,2.053248643875122,4.279834e-07,9.662472e-09,6.82121e-13,4.172325e-06,5.41592e-06,4.416147e-06,1.06521604e-07,1.6573289e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,onnx-keras2,5,2,onnx2keras,89756056,44817208,0.07299590110778809,0.3588864803314209,0.5173697471618652,0.18881869316101074,2.053248643875122,3.7838163e-07,3.6670826e-09,3.2969183e-12,2.682209e-06,3.8733974e-06,3.5405237e-06,4.0323735e-07,1.2463901e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,kera-onnx,5,3,onnxruntime,89756056,44688726,0.0688178539276123,0.04146265983581543,10.036092281341553,,10.309059381484985,5.5135536e-07,6.4173946e-09,1.8189894e-12,4.2915344e-06,5.3781764e-06,4.644207e-06,9.491298e-08,1.3668384e-05
resnet18,keras,9,tf_resnet18-cifar10_2021-10-29_9,keras-keras2,5,3,onnx2keras,89756056,44817208,0.0688178539276123,0.33515119552612305,0.4887564182281494,0.1864490509033203,2.045126438140869,7.3413116e-07,7.450581e-09,2.6147973e-12,5.9604645e-06,5.8536452e-06,5.515908e-06,7.334096e-07,1.5563337e-05
